"REF_DATE","GEO","DGUID","Labour force characteristics","Educational attainment","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-07","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","277.4","","","","1"
"2020-08","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","249.3","","","","1"
"2020-09","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","166.3","","","","1"
"2020-10","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","175.8","","","","1"
"2020-11","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","131.4","","","","1"
"2020-12","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","133.1","","","","1"
"2021-01","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","207.0","","","","1"
"2021-02","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","198.3","","","","1"
"2021-03","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","163.7","","","","1"
"2021-04","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","165.5","","","","1"
"2021-05","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","214.2","","","","1"
"2021-06","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","134.5","","","","1"
"2021-07","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","129.4","","","","1"
"2021-08","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","119.6","","","","1"
"2021-09","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","93.5","","","","1"
"2021-10","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","86.3","","","","1"
"2021-11","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","89.2","","","","1"
"2019-04","Canada","2016A000011124","Unemployment","Postsecondary certificate or diploma","Both sexes","15 years and over","Persons","249","thousands","3","v2627979","1.6.6.1.1","353.5","","","","1"
"2019-05","Canada","2016A000011124","Unemployment","Postsecondary certificate or diploma","Both sexes","15 years and over","Persons","249","thousands","3","v2627979","1.6.6.1.1","315.7","","","","1"
